B) Fragebogen-ID,F13 Was gef?llt Dir hier besonders gut?
1,"Die N?he zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gef?llt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht."
2,Das es den FCB gibt.
3,"Mir gef?llt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst."
4,"Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt)."
5,
6,Die Innenstadt  das ?ffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich
7,"Das es hier viele Unterhaltungsm?glichkeiten, wie Kino, Schwimmb?der etc., hat. Und die vielen Cafés"
8,"Park in der N?he, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der N?he, Spital"
9,"Dass es viele Freizeitm?glichkeiten gibt (Rhein, Parks etc.)"
10,Ausgang abends  Lange Erlen
11,Eigentlich fast alles
12,vorhandene Grünfl?chen
13,"Es ist nicht zu klein und nicht zu gross. Man kennt viele Leute, kann aber noch mehr kennenlernen."
14,Es hat viele grüne P?rke
15,Das man Abends raus gehen kann und es ziemlich sicher ist.
16,Basel  Rhy schwimme
17,Das man so schnell einkaufen kann.
18,Stadt
19,
20,viel Grün
21,"Das man ganz schnell nach Deutschland kommt.  Und, dass alles in der N?he isch"
22,Schulareal  Stadt  Bus/ Tram-Verbindungen
23,alles
24,Man hat alles was man braucht und ist nahe an den Grenzen
25,
26,"die Menschen, die Klima"
27,Die m?glichkeit schnell in der Stadt zu sein. Ist gross. Die vielen Verk?hrsm?glichkeiten.
28,
29,
30,
31,Man kann vieles machen aktivit?ten etc.
32,
33,
34,Es gibt viele m?gliche Sachen zum unternehmen
35,"Die Stadt, die Einkaufsl?den, man hat fast alles was man im Notfall braucht"
36,
37,
38,
39,Das es schulisch so viele m?glichkeiten gibt.
40,die alten Geb?ude  die Buse und trams  den Rhein
41,
42,Die M?glichkeiten die wir haben und es ist einfach toll hier.
43,Ein paar die freundlich sind zu mir.  Die Laden
44,Alles
45,"Die Parks, die Trams und die Busse"
46,Die Parks
47,Der Rhein
48,"Schwimmbad, Park, Laden, Bibliotheke"
49,Das die Büsse Tramhaltestellen mir nahe ist.
50,Die Ruhe in Basel
51,Dass es viele Einkaufsl?den hat.
52,Dass es in meinem Quartier eigentlich überall Bus und Tram gibt. Man kommt schnell in die Stadt oder zum Bahnhof oder sonstiges.
53,Vieles
54,Das man schnell von a nach b kommt.
55,die Trams die Buse
56,Der Rhein  Kinos  Bachgraben
57,Ich liebe es einfach in einer Stadt zu leben in der es viel Verkehr hat. Die Sehenswürdigkeiten erstaunen mich jedes Mal wieder.
58,Der Rhein  Die Sauberkeit  Die vielen Tram/ Bus M?glichkeiten zum fahren
59,"Der Rhein, die ?ffentlichen Pl?tze, die noch vorhanden sind."
60,Menschen  ?V  Aktivit?ten
61,"Wohnen im grünen Dorf, aber dennoch nahe an der Stadt"
62,die Grünfl?chen in Riehen; die Altstadt von Basel; Rhein
63,"Nicht so gross, Schulhaus in der N?he"
64,"Keine langen Wege, alles eher klein  Alles was man braucht"
65,"Guter ?V, Sicherheit, Aktivit?ten, Kleinbasler Atmosph?re, chille am Rhy"
66,Schulen sind gut organisiert  Viele Orte für die Freizeit
67,Bibliothek
68,Rhein  Inseli  Stadt
69,Rhein  Stadt  Birsk?pfchen
70,Die N?he zu Deutschland und Frankreich  der Rhein  von der Natur umgeben zu sein
71,die vielen Freizeitbesch?ftigungen
72,"Rhein  Stadtzentrum, Gesch?ft  Inseli, Birsk?pfli"
73,"Die Stadt, Einkaufsm?glichkeit  Ausgangsm?glichkeite"
74,Velowege
75,"JKF, Imagine, vielf?lltige Anl?sse  Freie Strasse, gute Verkehrsm?glichkeiten"
76,"Guter ?V, viel Grünanlagen, immer/ meistens sauber/ gepflegt"
77,Rhein  Wenkenpark  Wiese
78,Der Rhein gef?llt mir und die Einkaufsm?glichkeiten
79,Der Rhein  Einkaufsm?glichkeiten
80,Kunsteisbahn Eglisee  St.Jakkob  Die Messe
81,Mein Quartier.
82,Bei Hochbergerstrasse der Stücki.
83,"Es ist sauber, gute ?ffentliche Verkehrsmittel, nicht zu gross aber trotzdem alles vorhanden."
84,"Rhein, Stadt"
85,"Mir habe das Rhein sehr gefallen.  Ich wohne in den Stadt und in der n?he ist Migros, Coop etc."
86,Die verschiedenen Einkaufsm?glichkeiten  Man ist schnell an einem anderen Ort
87,"Ich finde es sehr gut, dass alle Leute hier respektiert werden, so wie sie sind."
88,Rhein (Ein guter Ort zum "Relaxen")
89,Viele Parks zum mit den Kindern oder Tieren spielen
90,"Die Stadt, die Parks, was man hier machen kan.  Der Rhein"
91,Die Gr?sse das man nicht lange hat bis wo hin  Das Schulsystem  Die Kriminalit?t
92,Es ist eine sehr sch?ne Stadt. Es hat alles was eine Stadt ben?tigt.
93,
94,"Die L?den, welche in der N?he ist.  Die Verkehrsmittel"
95,
96,Die Leute sind hier gut drauf ausser die Alten..
97,Mein Quartier und die Umgebung  Es ist sehr ruhig und sch?n  Die vielen verschiedenen Verkehrsmittel
98,
99,
100,
101,Viele
102,
103,
104,Soziale Wohlfahrt
105,
106,"Fasnacht, der Rhein"
107,
108,
109,Das es hier viel Shopping M?glichkeiten hat
110,
111,Herbstmesse
112,
113,Freizeit; Zentrum
114,
115,Alles
116,Das man relativ schnell von zuhause in die Stadt kommt
117,Herbstmesse
118,
119,Der Rhein
120,
121,
122,
123,
124,"Die Altstadt  Dass man hier ziemlich Alles hat, wie Cafés, Einkaufsm?glichkeiten, Tram/ Bus, Kino etc."
125,"Rhein, Kinos, Pfalz, Cliquenkeller, Freie Strasse, Theater, Barfi"
126,"Kunsteisbahn Margarethen, St. Jakob Arena, Rhein, Freie Strasse, Kinos, Barfi"
127,Viele Freizeitm?glichkeiten  allgemein kurze Distanzen  offene Menschen
128,"Das viele Grün in meinem Quartier, der Rhein im Sommer."
129,"sch?nes Stadt, viel Grünes"
130,
131,
132,
133,
134,"Die sch?ne Alt-Stadt, viel ""Grünland"", Clubs, Cafes, L?den-> in Basel hat es alles was man braucht"
135,
136,"Viele Parks, sch?ne, kleine, angenehme Stadt"
137,Ausgang  Freunde  Schule
138,Wir haben den Rhein
139,"Ich liebe diese Stadt, weil es dort toll ist. Und weil seid der Geburt dort lebe, kenne viele Leute, macht viel Spass."
140,"Der Rhein  Claraplatz, St.Jackop  Kursen"
141,Die vielen Kleiderl?dern.  Die gute Stimmung.  Die vielen Restaurants.
142,Das mir einen direkten BVB und BLT verker haben
143,Das der St. Johann Park in der n?he bei mir zu Hause ist.  Das es drei Basketballkorbe in der n?he ist.  Das es jeden Tag nicht laute Nachbarn hat.
144,Die vielen Kleider und Wahren L?den  die vielen Restaurants und Caffées  Die gute Stimung
145,"Die Leute sind freundlich, es hat nicht überall so viel Verkehr, die kleineren Kinder sind mehr geschützt."
146,
147,Alles
148,Alles
149,Man lernt viele Leute kennen und es hat viel Spielm?glichkeiten
150,Der FCB mit ihm das Stadion und die Fans in der Kurve  die Luft ist gut!  man hat viele Ferien!
151,Eigentlich alles
152,Das es viele B?der gibt.  Das es viele Orte gibt für Jugendliche (z.B Jugendzentrum)
153,Die Stadt Basel in der Altstadt gef?llt mir sehr  Der Rhein
154,Es giebt viele Warengesch?fte  Die Stadt ist sch?n  und natürlich FCB
155,Es ist sicher  tolle L?den  tolle Tramfunktion auf die man sich verlassen kann
156,Es ist eine Mischung zwischen Natur und Stadt. Man hat beides. Das ist sehr toll. Und mir gef?llt das Joggeli zum Fussball spielen und zum FCB schauen.
157,Stadt  Fasnacht  Stimmung
158,"die Fasnacht BS, der FCB"
159,Die Strassenbahnen und Buse fahren regelm?ssig  Man kann auch ohne Auto überall hin kommen
160,Der FC Basel gef?llt mir am meisten. (Ich habe Jahreskarten und bin stolzer Basler)
161,"Eigentlich alles, ich habe genug Freiraum, und finde auch die Stadt sch?n."
162,Das die Stadt so cool ist und man viel Einkaufsm?glichkeiten gibt.
163,der Rhein
164,"Meine Gegend, meine Freunde, meine Schule, der Rhein, meine Familie"
165,Meine Familie meine Freunde meine Umgebung meine Schule und der Rhein.
166,"Man ist nahe an der Stadt zum Einkaufen oder z.B. Musikschule, Turnhallen für Sport hobby und trotz dem nahe am Wald (Bruderholz und BL)"
167,Vor allem das Bruderholz weil es so "grün" ist. Die Basler Fasnacht und mega gern FCB
168,"Ich mag die Stadt, wegen den L?den.  Das es m?glichkeiten gibt irgendwo auf einen Park gehen kan.  Das es Fahr m?glichkeiten gibt wie z.B Tram Bus."
169,"Das es sehr grün ist. Das die Leute meistens (freundlich) zu einander sind. Das es fiel Sachen für Kinder gibt wie z.B. Spielpl?tze, Zolli.."
170,"Ich mag die Stadt sehr gerne da ich hier geboren bin.  Das es viele M?glichkeiten hat in ein z.B. Park, Feld zu gehen.  Das ich mich ohne Eltern und Probleme zurecht finden kann."
171,"Eigentlich fast alles hier gibt es genug Gesch?fte, die Menschen hier sind nett oder meistens, ich habe den Tram/Bus sehr gern und bei fast jeder Strasse sind Menschen."
172,Multi-kulti Personen
173,
174,Das es vielf?ltig ist
175,Die Stadt ist sch?n und das es ganz viele Nationen gibt.
176,"Die Stadt an sich, das sie alles zu bieten hat was man braucht"
177,Theater/Kino; Nordst?rn; FcBasel
178,
179,
180,Kulturvielfalt; BVB Netz; Alt-Stadt
181,
182,Die Innerstadt  Die vielen L?den  Der Rhein
183,"Dass die verschiedenen Dinge (L?den, Wohnorte, Spielpl?tze) gut verteilt sind."
184,"Die vielen L?den, Cafès & Restaurants!"
185,die Stadt  am Rhein
186,Das noch ein paar alte H?user sind wo früher benütz sind.
187,"Die Stadt ist sehr sch?n, auch mit dem Rhein und dem Münster."
188,"Dass es eher kleiner ist und auch für Kinder gut ist aber auch für Eltere und auch für Jugendliche, (für alle Altersklassen) etwas hat."
189,"Die Parks oder so zum Abmachen, der nicht so schlime Verkehr und das es nicht so zugebaut ist."
190,Es ist hier sehr sch?n es gibt viel Grün und bei mir ist es sch?n ruhig in der Strasse nicht so viele Menschen.
191,das man es nicht weit bis zur Stadt hat.
192,Alles
193,Die Natur die Birs und der Rhein.
194,den Rhein
195,"Das Haus, die Strasse weil es wenig Verkehr hat und der Flugipark."
196,Nichts besonders.
197,Das man fast überall mit dem Bus/ Tram hinkommen kann
198,Das die Schulen nah sind. Man kann schnell einkaufen. Die Apotheken sind auch in der N?he.
199,der Rhein
200,"Die Menschen hier sind sehr nett, es gibt gute L?den zum einkaufen."
201,Das man einen sicheren Beruf/ Lehrstelle haben kann.
202,die Stadt  die Leute
203,"Das Rhein gef?llt mir weil, wenns drausen warm ist geht jeder in den Rhein schwimmen oder chillen."
204,Dass die meisten Menschen freundlich sind und denken k?nnen.
205,Das die Stadt in der N?he ist.
206,"Das wir alles in der N?he haben wie z.B. Spit?ler, Shopps und so weiter."
207,"Verkehr, dass wir immer einen Tram nehmen k?nnen, weil jede 7 oder 8te Minute eine f?hrt."
208,
209,
210,Die freundlichen Menschen  Die hübschen Frauen
211,Die Schule gef?llt mir.
212,"Das Gesetz und die Ferpflegung (Arbeit, Haus, saubere Strassen)"
213,Das man mit Bus und Tram fahren kann (also 5 in 5min)
214,Das Dope  Der Rhein  Die Shoppingm?glichkeiten
215,Da ich hier geboren bin gef?llt mir alles weil ich mit all dem aufgewachsen bin. Meine Freunde sind hier usw.
216,"Alle meine Freunde sind hier ich weiss nicht wie es anderst were, würde ich in einen anderen Kanton wohnen."
217,Meine Wohnlage
218,Der Rhein
219,der Strasse ist es sauber  Sicherheit
220,die Stadt
221,Verkehrsmittel  der Rhein
222,Rhein  viele ?ffentliche Pl?tze
223,Das Nachtleben und die besondere Orte
224,viele Fussballpl?tze
225,"die meisten kennen sich, die noch vorhandenen alten H?user"
226,
227,
228,Freundeskreis; Dienstleistung; Ausbildungm?glichkeiten
229,Stadt leben; lebendigkeit
230,Es gibt einen Fluss und auch mehrere P?rke
231,Man hat die Einkaufs-Zentrum in der N?he. Man hat die ?V's.
232,Schopping; Gebeude; Park
233,Die vielen L?den zum einkaufen
234,
235,Das es soviel Gesetze hat also Ordnung in Basel. Der Rhein gef?llt mir jeder Ecke fast ein Mülleimer und eine saubere Umgebung.
236,sehr gute Stadt. Gutes Verkehrmittel. Sch?nes Rein.
237,"Margarethenpark, Strassen, Schule, Verkehr"
238,"Viele nette Leute, tolle P?rke, Rheinschwimmen, tolle Freizeitangebote"
239,Hier in Basel gibt es viele Freizeitbesch?ftigungsm?glichkeiten  Es gibt hier so ziemlich alles was man braucht
240,gar nix
241,Schwimmbad  Rhein  Veloweg
242,der Rhein
243,"Mir gef?llt besonders gut, dass man hier freie Parks hat usw."
244,die H?user
245,Mir gef?llt die Schwimmb?der
246,Mir gef?llt gut das es viele P?rke gibt und auch Tierp?rke.
247,der Rhein
248,"Alles, ich liebe alles an Basel"
249,"Alles, gefallt mir an Basel"
250,Die Leute
251,Mir gef?llts besonder gut weil ich ruhe habe also niemand mich st?rt
252,Mir gef?llt es das ich einen Park in der N?he habe.
253,"Fasnacht, Herbstmesse, Rieh, Stadt"
254,Es ist nicht langweilig es geht immer was los.  Es hat tolle Park.
255,Fasnacht  Herbstmesse  Rhein  Stadt
256,alles  man hat alles in dehr nehe
257,die Spielpl?tze  die Spazierg?nge  eigentlich "alles"
258,Das es viele Mc Donalds hat.  Mir gef?llt dass ich eine Park und Bahnhof in der N?he habe.
259,"Basel ist nicht zu gross und nicht zu klein, es ist einfach mit dem Velo oder Tram/Bus zu erreichen."
260,das Gesamtbild
261,der Rhein
262,Alles
263,Die Sauberkeit und es hat viele M?glichkeiten zum Spielen für kleine Kinder.
264,Man ist in der N?he der Stadt. Man hat alle Tram und Busverbindungen. Es l?uft viel in der Stadt.
265,"Ich hab hier viele Freunde, es ist billiger als in den anderen Kantonen. Es gef?llt mir"
266,Die Leute und die Stimmung
267,Ich wohne auf dem Bruderholz und dort gibt es nicht viel Verkehr. In der Stadt gibt es viele L?den und Sehenswürdigkeiten.
268,Man kann gut shoppen  es hat viele Kinos
269,"Basel ist eine grosse Stadt, hat aber trotzdem viel grün in der Umgebung."
270,Das man gut vernetzt und nicht all zu weit auseinander lebt.
271,Manche Orte wo es noch ein Stück Natur gibt.
272,Das es viel grün in der Stadt hat.
273,"Wir haben viele tolle Parks, Cafés, viele Ferien, viele Trame und Busse. Und die Stadt viele L?den."
274,"Tolle Parks, tolle Restaurants, tolle Spielpl?tze und Wohnungen."
275,"In Riehen die Gemeinschaft, das l?ndliche (Natur) und die Traditionen wie z.B. Dorffest"
276,dass es P?rke gibt
277,die Stadt zum shoppen  das Rhein
278,"Mir gef?llt, das es relativ viel grün in Basel gibt.  sch?ne Stadt  viele sch?ne Besonderheiten z.B. Mittlere Brücke (Aussicht über den Rhein)"
279,Die M?glichkeiten zum Einkaufen
280,"Man kann hier sehr gut aufwachsen, es ist in der richtigen Lage. Es hat sehr viele gute Seiten an Basel."
281,Das Basel sauber ist und ich hoffe das es mehr sauber gemacht wird.
282,die Stadt zum einkaufen  P?rke zum spielen
283,"Das es hir in der N?he einen Park, Laden und Sachen zum spielen hat."
284,"Verkehr (Bus, Tram, ?V)"
285,"Sehr gute Freunde, ein sch?nen Spielplatz, und natürlich die sch?nen H?user"
286,die Mc Donalds
287,Es ist ein sch?ner Kanton mir gef?llt die Schule der Park usw. Ich habe den Robispielplatz sehr gerne ich gehe sehr oft dort hin.
288,Park   Museum
289,es hat sch?ne Park  es hat coole Schulen  es hat gute Einkaufsl?den
290,ein Park in der N?he  habe tolle Nachbaren  ist ruhig es gibt kein Verkehr neben mir zu Hause
291,das viele Menschen sind  die Laden / aber bitte macht es billiger
292,Fussball
293,Mir gef?llt die Stadt  Mir gef?llt die vielen Menschen  Mir gef?lten Einkaufscenter zum Shoppen
294,Mir gef?llt den Park der in der n?he ist.  Mir gef?llt den Hof der bei uns ist.
295,Mir gefelt die Stadt  Mir gefallen die Einkaufszentrum  Mir gefelt der Park
296,Mir g?ffelt das es es Robi gibt da kommen alle meine Freunde.
297,Alles in Basel gef?llt mir gut.
298,das es kein Krieg hat  tolle Nachbarn  dass die Schulh?user nahe sind
299,"die netten Leute, die Umgebung"
300,Man kann mit dem Tram schnell in die Stadt. Man kann auf den Robi gehen und dort spielen.
301,dass ich eine freie Strasse habe  die F?hre
302,Dass ich hier wohnen kann.  Gute Noten
303,Alles ausser die alten Leute
304,Das Wasserstelzenschulhaus  dass ich hier wohnen kann
305,Herbstmesse  KKB  Schule
306,Ich finde den Rhein und die Denkm?ler sch?n. Aber auch die Stadt und die Herbstmesse sind toll. Ich finde auch die Angebote für Jugendliche sehr toll.
307,Unijokei  Kollegen  Schule
308,"FC Basel  das Jugi im Landauer  Herbstm?sse, Fasnacht, Band, Shoppen"
309,
310,Das wir sch?ne Trame haben  den Rhein
311,Das es viele verschiedene Arten Menschen gibt.
312,Alles  FC BAsel  Stad
313,
314,
315,
316,Am Rhein zusitzen.
317,Das man mit dem Bus und Tram überall hin kann.
318,"alles, ausser das es letztens sehr sehr viele Schwarze in unserem Quartier sind, und ich angst um meine Mutter und Schwester habe."
319,Die Orte  Die Gegend  Die Schule
320,Die Bunten Graffitis  Es ist so klein (Basel) aber es hatt alles  Gleiss 17.
321,Mir gef?llt eigentlich alles sehr gut
322,
323,Alles.
324,Alles Eishalle
325,Weiss nicht Love and Peace! Yolo
326,
327,"Das Münster, Bruderholz, Der Rhein, die Birs"
328,
329,Es ist in der Stadt und trotzdem nahe am Land (Reinach)
330,
331,Alles
332,Das man genug Platz zum Spielen
333,Manor  Gamestop  Barfüsserplatz
334,Rhein  Die Stadt
335,Der Rhein  Die Stadt
336,k.A.
337,Die gr?sse der Stadt  FCB
338,Die Leute und das Verhalten von ihnen. Die sozialit?t. Die Stadt. Die Clubs. Den Ausgang ect...
339,"Basel hat viele Park-Anlagen, die mir gefallen.  ?V"
340,"Nicht viel L?rm, Sicherheit"
341,Alles ist gut erreichbar mit Tram Bus oder Velo.
342,
343,Events  Verkehr und Ordnung
344,Gr?sse der Stadt (nicht zu gross nicht zu klein).
345,"Man kommt fast überall hin mit den ?Vs  Events, die es manchmal hier in Basel gibt"
346,Die Menschen sind nett man hatt viele schone Pl?tze auch am Abend
347,Meine Freunde
348,"Das Rhein am meisten!  Die Stadt, weil alle L?den nahe beieinander sind.  Spazierorte"
349,fast überall ist es Fahrrad freundlich  gute Tram & Bus verbindungen
350,- die Stadt allgmein  - Pfalz   - Rhein
351,"Die Stadt, der Rhein, Parks."
352,Rhy
353,"Herbstmesse :-), das Stadtzentrum"
354,"Die Leute sind nett, die Lage ist gut, man kann viel machen und viel ist nah gelegen"
355,Es ist alles in der N?he. Ausserdem ist es nicht zu wild.
356,- die Stadt im ganzen  - Aussichten z.B. Pfalz
357,Der Rhein und die schulischen Weiterbildungsm?glichkeiten
358,"grosses kultur - Angebot  gute VErnetzung ?V / Velo ...  gute Lage an au Grenze, ausgewogen Natur / Landschaft"
359,Eigentlich Alles
360,"Die Stimmung, dass man mit dem Velo fast überal herum fahren kann, der vielseitige anschluss mit ?ffentlichen Verkehrsmitteln und die Freiezeitangebote"
361,Der Rhein geff?lt mir sehr. Die Innenstadt vorallem. Eigentlich fast alles
362,Wenig arbeitslosigkeit wenig SVPler  die OS wird jetzt leider abgeschaft
363,alles
364,Eigentlich alles ausser dem Verkehr
365,
366,Das es fast alles hat was man will
367,Die Leute.
368,
369,"Die Parks, die Schwimmb?der"
370,Das es nicht so viel Verkehr hat und viele Freunde wohnen nahe bei mir.
371,Die Kunst und Kultur hier in Basel gef?llt mir. Es hat auch tolle Spielgelegenheiten. Das man im Rhein jetzt schwimmen kann
372,Eigendlich alles
373,Man kann zu fuss überall hin und die Berge sind nah an Basel dran.
374,Dass das Gottfried Keller Schulhaus nicht weit weg von mir Zuhause ist. Der Schützen- & Kannenfeldpark.
375,"Das es hier einigermassen viele Parks gibt, wo es genug gelegenheit gibt zu spielen"
376,
377,Mir gef?llt die Umgebung und das Leben in meinem Quartier.
378,Wie die Stat ausieht
379,"Eher nichts. Clubs, Lounge, Disco."
380,bei mir in den N?he gibt ein Fussballplatz
381,Das es viele Kinder gibt.
382,
383,
384,Mir gef?llt die Schule weil im mein Land habe ich nich die M?glich keit wie hir im Basel
385,Trinkbar wasser auf den Strassen
386,Das es in der N?he eine Tramstation/Busstation gibt.  Das es in der N?he "Stücki" gibt.
387,"Der Rhein, Stadt und Basler Messen, Parks."
388,Die vielen ?ffentlichen Verkehrsmittel  Die vielen Sportarten für Jugentliche
389,"Ich finde unsere Wohnlage sehr gut, weil wir sind nicht an einer grossen Strasse und sehr schnell in der Stadt. Ich finde diese Stadt einfach toll!"
390,Es hat viele Grünzonen.
391,Es hat viele Grünzonen
392,die Schweintram
393,Die grünen Trams
394,"Es ist alles sehr Nahe: Grünes (Lange Erlen, Chrischona) & Stadt"
395,Das viele Grün auf dem Bruderholz  So wenig Verkehr auf dem Bruderholz
396,Viel Grün
397,"Rhein, Stadt, und Wald in der N?he, friedlich, Herbstmesse"
398,"Rhein, Stadt und Parks"
399,Viele Freizeitangebote für Jugendliche
400,"Die vielen ?ffentliche Verkehrsmittel, die vielen M?glichkeiten für Jugendliche und der Boxclub Basel"
401,"Es ist für mich die t?llste Stadt, es hat alles was ich brauche. Es hat gute Schulen. Einen grossen Bahnhof und viele Restaurants und Kleiderl?den."
402,"Ich finde es toll dass es hier so ""friedlich"" und gemütlich ist. Mir gef?llt auch sehr, dass die Stadt so in der N?he ist. Es gibt auch eine tolle Herbstmesse"
403,Die sehr sichere Stadt und freundliche nette Leute. Es ist nicht so hecktisch wie in Grosst?dten.
404,Süssigkeitsgesch?fte
405,"Rhein, Rheinbord, Freiestrasse, Altstadt, die verschiedenen Kulturen die aufeinander treffen"
406,"Die Umgebung, die Leute, die Stadt, Schule, ..."
407,"Stadt in der N?he, gute Verkehrs verbindungen, sch?ne Stadt (teilweise), Freunde"
408,"Innenstadt, ?V, Freunde"
409,das Rheinbord  Freistrasse  Altstadt (Grossbasel)
410,"Die N?he zum Rhein, allgemein Lebensnatur(?)dige in der N?he (Schule  - Altstad Gross/Kleinbasel sehr sch?n"
411,"Es ist Velofreundlich, übersichtlich in der Gr?sse"
412,
413,
414,Die Pflanzen sind sehr sch?n
415,"Das Riehen eher klein/ruhig ist, aber nicht ganz auf dem Land. Man hat immer noch gute Verbindungen in die Stadt zu kommen. Freunde, Familie."
416,"Soziales Verhalten der Menschen, Stadt, einfach Alles! ausser Kleinkriminelle..."
417,
418,Dass die Stadt so alt und interessant aussieht.
419,
420,Mir gef?llt die Altst?dt sehr gut
421,"die Atmosph?re, die Menschen, sehr jugendfreundlich"
422,
423,"Sch?ne Stadt, mit vielen Attraktionen. Gemütlich."
424,Die alten H?user
425,Jugenzene
426,"sch?ne Altstadt, auch Jugendlich orientiert, wie z.B. JKF"
427,
428,"Das Stadtbild, ?V-Netz, nicht zu gross, nicht zu klein, viele L?den, viele Ausgangsm?glichkeiten, Bahnhof, Innenstadt, Bildungsm?glichkeiten"
429,Es gibt verschiedene Freizeit Aktivit?ten/ Gute Shopping strassen
430,Dass ich in eine Strasse/Quartier Wohne wo sehr ruhig ist.
431,Am Rhein spazieren
432,Sichere Verkehr/Viele Einkaufsm?glichkeiten/?V
433,Shopping Centre/Stadt
434,Atmosph?re/Weiterbildung
435,"Die umgebung, der Ausgang, die Stadt"
436,Die Stadt gef?llt mir am meisten.
437,
438,Es ist toll wie es displiniert ist
439,Es hat alles was ich brauche
440,"Die Ruhige atmosph?re, den FcBasel, die Kultur etc."
441,In meinem Quartier habe ich alles freunliche leute. Und allgemein wegen freunden und Familie
442,Sicherheit  Essen: Mc Donalds etc.  Shishabar
443,Der Rhein  Stücki
444,"Mein quatier, mein Freund wir k?nnen gut chillen usw."
445,Weiss nicht
446,Alles.
447,
448,Die sicherheit.  Wie Ruhe es am Abends ist.  Das man auf velo fahren kann.
449,Der Rhein  Stücki
450,Die Stadt und alles
451,Die Einkaufscenter z.B. Stücki  Ruhige Lagen wie Gundeli oder Burgfelderhof
452,Das Marijuana
453,Es ish nid so gross und me kennt alli das isch gued
454,Basel ish nid zu gross meh kennt alli Orte allso meh kha sich guet Orientiere z.b wenn meh abmacht
455,Die Menschen und alles
456,Alles
457,Keine Ahung
458,Die Schule.  Die Freunde.  Das Zimmer.
459,Basel: Die Museen  Riehen: Die Umgebung  Bottingen: Kenn ich mich nicht aus
460,Alles in Kontrollo :-) !
461,
462,
463,
464,Mir gef?llt dass wir in wenigen min in die Stadt gehen k?nnen
465,"Wir k?nnen in wenigen min. in die Stadt oder nach Deutschland, wo es auch günstiger ist."
466,Wir k?nnen gut und schnell über all hinfahren
467,
468,
469,Viele grüne Fl?chen.  Sch?ne umgebung  m?glich keit viele tiere zu sehen oder zu haben.
470,Es hat viele sehenswürdigkeiten.  Genug Einkaufsl?den
471,meine Freunde ein gutes Haus
472,Das es viele L?den gibt zum einkaufen
473,
474,"Es ist meistens nahe an der Natur, es hat gute Schulen und eine gute verbindung mit Bus/Tram."
475,
476,Die menschen  Die natur  Der park
477,
478,
479,
480,Es gibt viele m?glichkeiten die Stadt zu erreichen.
481,
482,
483,Sauberkeit
484,"Die wenigen Veranstaltungen die es gibt (bspw. im Haus für elektronische Künste etc.), die Sauberkeit"
